Nodes: 800	Edges: 207505
Node: 120	Degree: 515	NeighbourhoodDegree: 267419
Node: 121	Degree: 501	NeighbourhoodDegree: 259996
Node: 122	Degree: 536	NeighbourhoodDegree: 278383
Node: 123	Degree: 533	NeighbourhoodDegree: 276582
Node: 124	Degree: 519	NeighbourhoodDegree: 269245
Node: 125	Degree: 512	NeighbourhoodDegree: 265664
Node: 126	Degree: 497	NeighbourhoodDegree: 257848
Node: 127	Degree: 514	NeighbourhoodDegree: 266978
Node: 128	Degree: 531	NeighbourhoodDegree: 275372
Node: 129	Degree: 540	NeighbourhoodDegree: 280192
Node: 130	Degree: 535	NeighbourhoodDegree: 277900
Node: 131	Degree: 527	NeighbourhoodDegree: 273226
Node: 132	Degree: 527	NeighbourhoodDegree: 273856
Node: 133	Degree: 523	NeighbourhoodDegree: 271472
Node: 134	Degree: 522	NeighbourhoodDegree: 270529
Node: 135	Degree: 522	NeighbourhoodDegree: 270917
Node: 136	Degree: 512	NeighbourhoodDegree: 265644
Node: 137	Degree: 514	NeighbourhoodDegree: 266844
Node: 138	Degree: 521	NeighbourhoodDegree: 270399
Node: 139	Degree: 516	NeighbourhoodDegree: 267611
Node: 140	Degree: 515	NeighbourhoodDegree: 267367
Node: 141	Degree: 514	NeighbourhoodDegree: 266528
Node: 142	Degree: 523	NeighbourhoodDegree: 271514
Node: 143	Degree: 500	NeighbourhoodDegree: 259465
Node: 144	Degree: 514	NeighbourhoodDegree: 266687
Node: 145	Degree: 522	NeighbourhoodDegree: 270547
Node: 146	Degree: 512	NeighbourhoodDegree: 265400
Node: 147	Degree: 516	NeighbourhoodDegree: 267708
Node: 148	Degree: 515	NeighbourhoodDegree: 267130
Node: 149	Degree: 533	NeighbourhoodDegree: 276650
Node: 150	Degree: 505	NeighbourhoodDegree: 261925
Node: 151	Degree: 508	NeighbourhoodDegree: 263457
Node: 152	Degree: 500	NeighbourhoodDegree: 259545
Node: 153	Degree: 529	NeighbourhoodDegree: 274652
Node: 154	Degree: 498	NeighbourhoodDegree: 258345
Node: 155	Degree: 506	NeighbourhoodDegree: 262619
Node: 156	Degree: 519	NeighbourhoodDegree: 269274
Node: 157	Degree: 512	NeighbourhoodDegree: 265756
Node: 158	Degree: 522	NeighbourhoodDegree: 270770
Node: 159	Degree: 529	NeighbourhoodDegree: 274625
Node: 160	Degree: 509	NeighbourhoodDegree: 264373
Node: 161	Degree: 527	NeighbourhoodDegree: 273688
Node: 162	Degree: 524	NeighbourhoodDegree: 271895
Node: 163	Degree: 525	NeighbourhoodDegree: 272302
Node: 164	Degree: 501	NeighbourhoodDegree: 260026
Node: 165	Degree: 533	NeighbourhoodDegree: 276567
Node: 166	Degree: 503	NeighbourhoodDegree: 261111
Node: 167	Degree: 548	NeighbourhoodDegree: 284340
Node: 168	Degree: 527	NeighbourhoodDegree: 273556
Node: 169	Degree: 525	NeighbourhoodDegree: 272154
Node: 170	Degree: 495	NeighbourhoodDegree: 256881
Node: 171	Degree: 519	NeighbourhoodDegree: 269484
Node: 172	Degree: 545	NeighbourhoodDegree: 282676
Node: 173	Degree: 523	NeighbourhoodDegree: 271317
Node: 174	Degree: 530	NeighbourhoodDegree: 275227
Node: 175	Degree: 514	NeighbourhoodDegree: 267055
Node: 176	Degree: 515	NeighbourhoodDegree: 267121
Node: 177	Degree: 491	NeighbourhoodDegree: 255036
Node: 178	Degree: 503	NeighbourhoodDegree: 260758
Node: 179	Degree: 495	NeighbourhoodDegree: 256794
Node: 180	Degree: 541	NeighbourhoodDegree: 280507
Node: 181	Degree: 522	NeighbourhoodDegree: 270576
Node: 182	Degree: 496	NeighbourhoodDegree: 257349
Node: 183	Degree: 515	NeighbourhoodDegree: 267580
Node: 184	Degree: 519	NeighbourhoodDegree: 269261
Node: 185	Degree: 507	NeighbourhoodDegree: 263207
Node: 186	Degree: 535	NeighbourhoodDegree: 277637
Node: 187	Degree: 508	NeighbourhoodDegree: 263565
Node: 188	Degree: 515	NeighbourhoodDegree: 267523
Node: 189	Degree: 498	NeighbourhoodDegree: 258746
Node: 190	Degree: 502	NeighbourhoodDegree: 260897
Node: 191	Degree: 511	NeighbourhoodDegree: 265275
Node: 192	Degree: 517	NeighbourhoodDegree: 268499
Node: 193	Degree: 538	NeighbourhoodDegree: 279493
Node: 194	Degree: 514	NeighbourhoodDegree: 266546
Node: 195	Degree: 528	NeighbourhoodDegree: 274067
Node: 196	Degree: 505	NeighbourhoodDegree: 262163
Node: 197	Degree: 527	NeighbourhoodDegree: 273674
Node: 198	Degree: 511	NeighbourhoodDegree: 264923
Node: 199	Degree: 523	NeighbourhoodDegree: 271581
Node: 200	Degree: 520	NeighbourhoodDegree: 270111
Node: 201	Degree: 523	NeighbourhoodDegree: 271618
Node: 202	Degree: 536	NeighbourhoodDegree: 278327
Node: 203	Degree: 503	NeighbourhoodDegree: 261050
Node: 204	Degree: 520	NeighbourhoodDegree: 269811
Node: 205	Degree: 535	NeighbourhoodDegree: 277695
Node: 206	Degree: 510	NeighbourhoodDegree: 264768
Node: 207	Degree: 514	NeighbourhoodDegree: 266873
Node: 208	Degree: 521	NeighbourhoodDegree: 270457
Node: 209	Degree: 503	NeighbourhoodDegree: 261036
Node: 210	Degree: 525	NeighbourhoodDegree: 272419
Node: 211	Degree: 515	NeighbourhoodDegree: 267647
Node: 212	Degree: 507	NeighbourhoodDegree: 263473
Node: 213	Degree: 520	NeighbourhoodDegree: 270171
Node: 214	Degree: 533	NeighbourhoodDegree: 276671
Node: 215	Degree: 541	NeighbourhoodDegree: 280753
Node: 216	Degree: 505	NeighbourhoodDegree: 261940
Node: 217	Degree: 521	NeighbourhoodDegree: 270514
Node: 218	Degree: 523	NeighbourhoodDegree: 271616
Node: 219	Degree: 535	NeighbourhoodDegree: 277465
Node: 220	Degree: 504	NeighbourhoodDegree: 261832
Node: 221	Degree: 514	NeighbourhoodDegree: 266891
Node: 222	Degree: 513	NeighbourhoodDegree: 266184
Node: 223	Degree: 503	NeighbourhoodDegree: 261283
Node: 224	Degree: 526	NeighbourhoodDegree: 272907
Node: 225	Degree: 496	NeighbourhoodDegree: 257465
Node: 226	Degree: 517	NeighbourhoodDegree: 268219
Node: 227	Degree: 516	NeighbourhoodDegree: 267960
Node: 228	Degree: 523	NeighbourhoodDegree: 271459
Node: 229	Degree: 519	NeighbourhoodDegree: 269115
Node: 230	Degree: 492	NeighbourhoodDegree: 255430
Node: 231	Degree: 515	NeighbourhoodDegree: 267109
Node: 232	Degree: 505	NeighbourhoodDegree: 262523
Node: 233	Degree: 515	NeighbourhoodDegree: 267295
Node: 234	Degree: 523	NeighbourhoodDegree: 271235
Node: 235	Degree: 522	NeighbourhoodDegree: 271029
Node: 236	Degree: 526	NeighbourhoodDegree: 272691
Node: 237	Degree: 542	NeighbourhoodDegree: 281548
Node: 238	Degree: 539	NeighbourhoodDegree: 279428
Node: 239	Degree: 528	NeighbourhoodDegree: 274075
Node: 240	Degree: 536	NeighbourhoodDegree: 278277
Node: 241	Degree: 501	NeighbourhoodDegree: 259920
Node: 242	Degree: 515	NeighbourhoodDegree: 267135
Node: 243	Degree: 551	NeighbourhoodDegree: 286395
Node: 244	Degree: 515	NeighbourhoodDegree: 267295
Node: 245	Degree: 536	NeighbourhoodDegree: 278200
Node: 246	Degree: 549	NeighbourhoodDegree: 285159
Node: 247	Degree: 511	NeighbourhoodDegree: 265569
Node: 248	Degree: 503	NeighbourhoodDegree: 261146
Node: 249	Degree: 498	NeighbourhoodDegree: 258678
Node: 250	Degree: 516	NeighbourhoodDegree: 267855
Node: 251	Degree: 520	NeighbourhoodDegree: 269598
Node: 252	Degree: 500	NeighbourhoodDegree: 259519
Node: 253	Degree: 514	NeighbourhoodDegree: 266995
Node: 254	Degree: 515	NeighbourhoodDegree: 267315
Node: 255	Degree: 525	NeighbourhoodDegree: 272452
Node: 256	Degree: 539	NeighbourhoodDegree: 279692
Node: 257	Degree: 515	NeighbourhoodDegree: 267135
Node: 258	Degree: 522	NeighbourhoodDegree: 270956
Node: 259	Degree: 521	NeighbourhoodDegree: 270671
Node: 260	Degree: 516	NeighbourhoodDegree: 267723
Node: 261	Degree: 491	NeighbourhoodDegree: 254848
Node: 262	Degree: 544	NeighbourhoodDegree: 282446
Node: 263	Degree: 510	NeighbourhoodDegree: 264858
Node: 264	Degree: 502	NeighbourhoodDegree: 260424
Node: 265	Degree: 517	NeighbourhoodDegree: 268639
Node: 266	Degree: 500	NeighbourhoodDegree: 259750
Node: 267	Degree: 486	NeighbourhoodDegree: 252596
Node: 268	Degree: 514	NeighbourhoodDegree: 266884
Node: 269	Degree: 524	NeighbourhoodDegree: 272198
Node: 270	Degree: 509	NeighbourhoodDegree: 264046
Node: 271	Degree: 525	NeighbourhoodDegree: 272834
Node: 272	Degree: 519	NeighbourhoodDegree: 269530
Node: 273	Degree: 540	NeighbourhoodDegree: 280142
Node: 274	Degree: 521	NeighbourhoodDegree: 270641
Node: 275	Degree: 540	NeighbourhoodDegree: 280330
Node: 276	Degree: 515	NeighbourhoodDegree: 266970
Node: 277	Degree: 520	NeighbourhoodDegree: 270112
Node: 278	Degree: 544	NeighbourhoodDegree: 282572
Node: 279	Degree: 502	NeighbourhoodDegree: 260771
Node: 280	Degree: 536	NeighbourhoodDegree: 278430
Node: 281	Degree: 535	NeighbourhoodDegree: 277418
Node: 282	Degree: 524	NeighbourhoodDegree: 272357
Node: 283	Degree: 508	NeighbourhoodDegree: 263508
Node: 284	Degree: 531	NeighbourhoodDegree: 275441
Node: 285	Degree: 534	NeighbourhoodDegree: 277111
Node: 286	Degree: 506	NeighbourhoodDegree: 262744
Node: 287	Degree: 525	NeighbourhoodDegree: 272706
Node: 288	Degree: 517	NeighbourhoodDegree: 268250
Node: 289	Degree: 532	NeighbourhoodDegree: 275871
Node: 290	Degree: 507	NeighbourhoodDegree: 263404
Node: 291	Degree: 541	NeighbourhoodDegree: 281093
Node: 292	Degree: 523	NeighbourhoodDegree: 271906
Node: 293	Degree: 513	NeighbourhoodDegree: 266306
Node: 294	Degree: 514	NeighbourhoodDegree: 266937
Node: 295	Degree: 498	NeighbourhoodDegree: 258505
Node: 296	Degree: 552	NeighbourhoodDegree: 286499
Node: 297	Degree: 540	NeighbourhoodDegree: 280237
Node: 298	Degree: 511	NeighbourhoodDegree: 264980
Node: 299	Degree: 517	NeighbourhoodDegree: 268116
Node: 300	Degree: 516	NeighbourhoodDegree: 267924
Node: 301	Degree: 519	NeighbourhoodDegree: 269575
Node: 302	Degree: 502	NeighbourhoodDegree: 260694
Node: 303	Degree: 514	NeighbourhoodDegree: 266765
Node: 304	Degree: 495	NeighbourhoodDegree: 256704
Node: 305	Degree: 536	NeighbourhoodDegree: 278521
Node: 306	Degree: 505	NeighbourhoodDegree: 262036
Node: 307	Degree: 534	NeighbourhoodDegree: 277136
Node: 308	Degree: 529	NeighbourhoodDegree: 274573
Node: 309	Degree: 506	NeighbourhoodDegree: 262307
Node: 310	Degree: 521	NeighbourhoodDegree: 270411
Node: 311	Degree: 532	NeighbourhoodDegree: 276052
Node: 312	Degree: 528	NeighbourhoodDegree: 273764
Node: 313	Degree: 518	NeighbourhoodDegree: 268939
Node: 314	Degree: 509	NeighbourhoodDegree: 264026
Node: 315	Degree: 527	NeighbourhoodDegree: 273749
Node: 316	Degree: 528	NeighbourhoodDegree: 274249
Node: 317	Degree: 493	NeighbourhoodDegree: 255924
Node: 318	Degree: 519	NeighbourhoodDegree: 269234
Node: 319	Degree: 523	NeighbourhoodDegree: 271393
Node: 320	Degree: 519	NeighbourhoodDegree: 269433
Node: 321	Degree: 526	NeighbourhoodDegree: 273297
Node: 322	Degree: 521	NeighbourhoodDegree: 270107
Node: 323	Degree: 518	NeighbourhoodDegree: 268787
Node: 324	Degree: 506	NeighbourhoodDegree: 262772
Node: 325	Degree: 519	NeighbourhoodDegree: 269725
Node: 326	Degree: 497	NeighbourhoodDegree: 257928
Node: 327	Degree: 494	NeighbourhoodDegree: 256594
Node: 328	Degree: 515	NeighbourhoodDegree: 267197
Node: 329	Degree: 535	NeighbourhoodDegree: 277704
Node: 330	Degree: 520	NeighbourhoodDegree: 270059
Node: 331	Degree: 528	NeighbourhoodDegree: 273995
Node: 332	Degree: 515	NeighbourhoodDegree: 267381
Node: 333	Degree: 519	NeighbourhoodDegree: 269636
Node: 334	Degree: 509	NeighbourhoodDegree: 264582
Node: 335	Degree: 519	NeighbourhoodDegree: 269352
Node: 336	Degree: 515	NeighbourhoodDegree: 267516
Node: 337	Degree: 524	NeighbourhoodDegree: 271999
Node: 338	Degree: 511	NeighbourhoodDegree: 265169
Node: 339	Degree: 510	NeighbourhoodDegree: 264730
Node: 340	Degree: 517	NeighbourhoodDegree: 268046
Node: 341	Degree: 516	NeighbourhoodDegree: 267989
Node: 342	Degree: 534	NeighbourhoodDegree: 277142
Node: 343	Degree: 525	NeighbourhoodDegree: 272797
Node: 344	Degree: 519	NeighbourhoodDegree: 269585
Node: 345	Degree: 523	NeighbourhoodDegree: 271865
Node: 346	Degree: 503	NeighbourhoodDegree: 261296
Node: 347	Degree: 517	NeighbourhoodDegree: 268413
Node: 348	Degree: 521	NeighbourhoodDegree: 270634
Node: 349	Degree: 525	NeighbourhoodDegree: 272429
Node: 350	Degree: 515	NeighbourhoodDegree: 267236
Node: 351	Degree: 506	NeighbourhoodDegree: 262738
Node: 352	Degree: 511	NeighbourhoodDegree: 265243
Node: 353	Degree: 521	NeighbourhoodDegree: 270411
Node: 354	Degree: 527	NeighbourhoodDegree: 273473
Node: 355	Degree: 533	NeighbourhoodDegree: 276720
Node: 356	Degree: 514	NeighbourhoodDegree: 266747
Node: 357	Degree: 497	NeighbourhoodDegree: 257966
Node: 358	Degree: 542	NeighbourhoodDegree: 281057
Node: 359	Degree: 509	NeighbourhoodDegree: 263966
Node: 360	Degree: 530	NeighbourhoodDegree: 275140
Node: 361	Degree: 509	NeighbourhoodDegree: 263952
Node: 362	Degree: 513	NeighbourhoodDegree: 266287
Node: 363	Degree: 507	NeighbourhoodDegree: 263222
Node: 364	Degree: 512	NeighbourhoodDegree: 265623
Node: 365	Degree: 515	NeighbourhoodDegree: 267362
Node: 366	Degree: 499	NeighbourhoodDegree: 258917
Node: 367	Degree: 516	NeighbourhoodDegree: 267833
Node: 368	Degree: 546	NeighbourhoodDegree: 283477
Node: 369	Degree: 509	NeighbourhoodDegree: 264126
Node: 370	Degree: 546	NeighbourhoodDegree: 283407
Node: 371	Degree: 541	NeighbourhoodDegree: 281023
Node: 372	Degree: 534	NeighbourhoodDegree: 277306
Node: 373	Degree: 532	NeighbourhoodDegree: 276102
Node: 374	Degree: 494	NeighbourhoodDegree: 256296
Node: 375	Degree: 495	NeighbourhoodDegree: 256869
Node: 376	Degree: 515	NeighbourhoodDegree: 267478
Node: 377	Degree: 528	NeighbourhoodDegree: 274099
Node: 378	Degree: 501	NeighbourhoodDegree: 260164
Node: 379	Degree: 534	NeighbourhoodDegree: 277134
Node: 380	Degree: 515	NeighbourhoodDegree: 267412
Node: 381	Degree: 527	NeighbourhoodDegree: 273678
Node: 382	Degree: 529	NeighbourhoodDegree: 274561
Node: 383	Degree: 524	NeighbourhoodDegree: 272169
Node: 384	Degree: 526	NeighbourhoodDegree: 272606
Node: 385	Degree: 540	NeighbourhoodDegree: 280586
Node: 386	Degree: 521	NeighbourhoodDegree: 270503
Node: 387	Degree: 527	NeighbourhoodDegree: 273410
Node: 388	Degree: 505	NeighbourhoodDegree: 261896
Node: 389	Degree: 480	NeighbourhoodDegree: 249239
Node: 390	Degree: 542	NeighbourhoodDegree: 281632
Node: 391	Degree: 520	NeighbourhoodDegree: 270075
Node: 392	Degree: 526	NeighbourhoodDegree: 273177
Node: 393	Degree: 500	NeighbourhoodDegree: 259584
Node: 394	Degree: 533	NeighbourhoodDegree: 276623
Node: 395	Degree: 515	NeighbourhoodDegree: 267364
Node: 396	Degree: 508	NeighbourhoodDegree: 263685
Node: 397	Degree: 512	NeighbourhoodDegree: 265814
Node: 398	Degree: 503	NeighbourhoodDegree: 261133
Node: 399	Degree: 530	NeighbourhoodDegree: 275048
Node: 400	Degree: 524	NeighbourhoodDegree: 271725
Node: 401	Degree: 511	NeighbourhoodDegree: 265204
Node: 402	Degree: 536	NeighbourhoodDegree: 278151
Node: 403	Degree: 518	NeighbourhoodDegree: 268808
Node: 404	Degree: 501	NeighbourhoodDegree: 260023
Node: 405	Degree: 525	NeighbourhoodDegree: 272572
Node: 406	Degree: 499	NeighbourhoodDegree: 259025
Node: 407	Degree: 531	NeighbourhoodDegree: 275677
Node: 408	Degree: 528	NeighbourhoodDegree: 274048
Node: 409	Degree: 518	NeighbourhoodDegree: 269173
Node: 410	Degree: 511	NeighbourhoodDegree: 265487
Node: 411	Degree: 531	NeighbourhoodDegree: 275484
Node: 412	Degree: 504	NeighbourhoodDegree: 261410
Node: 413	Degree: 523	NeighbourhoodDegree: 271336
Node: 414	Degree: 526	NeighbourhoodDegree: 272793
Node: 415	Degree: 514	NeighbourhoodDegree: 266991
Node: 416	Degree: 507	NeighbourhoodDegree: 263049
Node: 417	Degree: 526	NeighbourhoodDegree: 272990
Node: 418	Degree: 521	NeighbourhoodDegree: 270498
Node: 419	Degree: 524	NeighbourhoodDegree: 272000
Node: 420	Degree: 515	NeighbourhoodDegree: 267105
Node: 421	Degree: 531	NeighbourhoodDegree: 275744
Node: 422	Degree: 527	NeighbourhoodDegree: 273859
Node: 423	Degree: 514	NeighbourhoodDegree: 266767
Node: 424	Degree: 535	NeighbourhoodDegree: 277837
Node: 425	Degree: 548	NeighbourhoodDegree: 284399
Node: 426	Degree: 513	NeighbourhoodDegree: 266123
Node: 427	Degree: 531	NeighbourhoodDegree: 275915
Node: 428	Degree: 518	NeighbourhoodDegree: 268766
Node: 429	Degree: 500	NeighbourhoodDegree: 259496
Node: 430	Degree: 502	NeighbourhoodDegree: 260703
Node: 431	Degree: 531	NeighbourhoodDegree: 275488
Node: 432	Degree: 515	NeighbourhoodDegree: 267512
Node: 433	Degree: 537	NeighbourhoodDegree: 278680
Node: 434	Degree: 516	NeighbourhoodDegree: 267970
Node: 435	Degree: 537	NeighbourhoodDegree: 278745
Node: 436	Degree: 508	NeighbourhoodDegree: 263731
Node: 437	Degree: 527	NeighbourhoodDegree: 273301
Node: 438	Degree: 518	NeighbourhoodDegree: 268913
Node: 439	Degree: 536	NeighbourhoodDegree: 278076
Node: 440	Degree: 525	NeighbourhoodDegree: 272235
Node: 441	Degree: 514	NeighbourhoodDegree: 266690
Node: 442	Degree: 513	NeighbourhoodDegree: 266179
Node: 443	Degree: 521	NeighbourhoodDegree: 270556
Node: 444	Degree: 494	NeighbourhoodDegree: 256343
Node: 445	Degree: 522	NeighbourhoodDegree: 270669
Node: 446	Degree: 509	NeighbourhoodDegree: 264207
Node: 447	Degree: 523	NeighbourhoodDegree: 271591
Node: 448	Degree: 527	NeighbourhoodDegree: 273656
Node: 449	Degree: 521	NeighbourhoodDegree: 270658
Node: 450	Degree: 515	NeighbourhoodDegree: 267310
Node: 451	Degree: 546	NeighbourhoodDegree: 283551
Node: 452	Degree: 548	NeighbourhoodDegree: 284379
Node: 453	Degree: 497	NeighbourhoodDegree: 257906
Node: 454	Degree: 526	NeighbourhoodDegree: 272861
Node: 455	Degree: 547	NeighbourhoodDegree: 283773
Node: 456	Degree: 515	NeighbourhoodDegree: 267719
Node: 457	Degree: 525	NeighbourhoodDegree: 272390
Node: 458	Degree: 524	NeighbourhoodDegree: 272247
Node: 459	Degree: 539	NeighbourhoodDegree: 279358
Node: 460	Degree: 508	NeighbourhoodDegree: 263981
Node: 461	Degree: 529	NeighbourhoodDegree: 274509
Node: 462	Degree: 539	NeighbourhoodDegree: 279783
Node: 463	Degree: 517	NeighbourhoodDegree: 268361
Node: 464	Degree: 513	NeighbourhoodDegree: 266334
Node: 465	Degree: 528	NeighbourhoodDegree: 274075
Node: 466	Degree: 521	NeighbourhoodDegree: 270142
Node: 467	Degree: 525	NeighbourhoodDegree: 272528
Node: 468	Degree: 528	NeighbourhoodDegree: 273993
Node: 469	Degree: 510	NeighbourhoodDegree: 264961
Node: 470	Degree: 516	NeighbourhoodDegree: 267581
Node: 471	Degree: 520	NeighbourhoodDegree: 269833
Node: 472	Degree: 513	NeighbourhoodDegree: 266272
Node: 473	Degree: 518	NeighbourhoodDegree: 268662
Node: 474	Degree: 517	NeighbourhoodDegree: 268152
Node: 475	Degree: 521	NeighbourhoodDegree: 270787
Node: 476	Degree: 538	NeighbourhoodDegree: 279260
Node: 477	Degree: 509	NeighbourhoodDegree: 264188
Node: 478	Degree: 523	NeighbourhoodDegree: 271061
Node: 479	Degree: 530	NeighbourhoodDegree: 274880
Node: 480	Degree: 509	NeighbourhoodDegree: 264152
Node: 481	Degree: 527	NeighbourhoodDegree: 273722
